image,method,bpp,feature_extract_s,fuzzy_infer_s,embed_s,extract_s,total_s,peak_memory_kb
smooth_00035.png,Adaptive,0.2,0.107801,0.098907,0.012040,0.009215,0.227963,160323.0
smooth_00036.png,Fixed-LSB-1,0.2,0.0,0.0,0.007325,0.009887,0.017212,1768.1
smooth_00036.png,Fixed-LSB-2,0.2,0.0,0.0,0.007568,0.009040,0.016608,1763.7
smooth_00036.png,Adaptive,0.2,0.094062,0.098002,0.010604,0.010949,0.213617,160323.0
smooth_00037.png,Fixed-LSB-1,0.2,0.0,0.0,0.006266,0.008283,0.014549,1768.1
smooth_00037.png,Fixed-LSB-2,0.2,0.0,0.0,0.006331,0.007180,0.013511,1763.7
smooth_00037.png,Adaptive,0.2,0.090371,0.091066,0.007587,0.012638,0.201662,160323.0
smooth_00038.png,Fixed-LSB-1,0.2,0.0,0.0,0.008741,0.007089,0.015830,1768.1
smooth_00038.png,Fixed-LSB-2,0.2,0.0,0.0,0.009691,0.006693,0.016384,1763.7
smooth_00038.png,Adaptive,0.2,0.099413,0.099297,0.010708,0.008667,0.218085,160323.0
smooth_00039.png,Fixed-LSB-1,0.2,0.0,0.0,0.006729,0.011721,0.018450,1768.1
smooth_00039.png,Fixed-LSB-2,0.2,0.0,0.0,0.007129,0.009714,0.016843,1763.7
smooth_00039.png,Adaptive,0.2,0.105002,0.101072,0.010300,0.013004,0.229379,160323.0
smooth_00040.png,Fixed-LSB-1,0.2,0.0,0.0,0.010502,0.006527,0.017029,1768.1
smooth_00040.png,Fixed-LSB-2,0.2,0.0,0.0,0.006493,0.008490,0.014983,1763.7
smooth_00040.png,Adaptive,0.2,0.095821,0.092840,0.010807,0.010654,0.210122,160323.0
smooth_00041.png,Fixed-LSB-1,0.2,0.0,0.0,0.006366,0.008269,0.014635,1768.1
smooth_00041.png,Fixed-LSB-2,0.2,0.0,0.0,0.006482,0.007959,0.014441,1763.7
smooth_00041.png,Adaptive,0.2,0.086302,0.090995,0.010602,0.012021,0.199920,160323.0
smooth_00042.png,Fixed-LSB-1,0.2,0.0,0.0,0.006613,0.009134,0.015747,1768.1
smooth_00042.png,Fixed-LSB-2,0.2,0.0,0.0,0.006223,0.008658,0.014881,1763.7
smooth_00042.png,Adaptive,0.2,0.105110,0.098882,0.011315,0.014685,0.229992,160323.0
smooth_00043.png,Fixed-LSB-1,0.2,0.0,0.0,0.006686,0.009033,0.015719,1768.1
smooth_00043.png,Fixed-LSB-2,0.2,0.0,0.0,0.006915,0.009921,0.016836,1763.7
smooth_00043.png,Adaptive,0.2,0.098650,0.103398,0.013040,0.012021,0.227109,160323.0
smooth_00044.png,Fixed-LSB-1,0.2,0.0,0.0,0.006413,0.008114,0.014527,1768.1
smooth_00044.png,Fixed-LSB-2,0.2,0.0,0.0,0.006372,0.006250,0.012621,1763.7
smooth_00044.png,Adaptive,0.2,0.098404,0.099986,0.008518,0.011391,0.218298,160323.0
smooth_00045.png,Fixed-LSB-1,0.2,0.0,0.0,0.006413,0.008624,0.015037,1768.1
smooth_00045.png,Fixed-LSB-2,0.2,0.0,0.0,0.006303,0.007634,0.013937,1763.7
smooth_00045.png,Adaptive,0.2,0.093903,0.096657,0.011607,0.010837,0.213004,160323.0
smooth_00046.png,Fixed-LSB-1,0.2,0.0,0.0,0.005609,0.007841,0.013450,1768.1
smooth_00046.png,Fixed-LSB-2,0.2,0.0,0.0,0.005679,0.005508,0.011187,1763.7
smooth_00046.png,Adaptive,0.2,0.099501,0.095987,0.011529,0.009287,0.216304,160323.0
smooth_00047.png,Fixed-LSB-1,0.2,0.0,0.0,0.006697,0.009604,0.016301,1768.1
smooth_00047.png,Fixed-LSB-2,0.2,0.0,0.0,0.006875,0.009421,0.016296,1763.7
smooth_00047.png,Adaptive,0.2,0.107992,0.106252,0.008528,0.011289,0.234060,160323.0
smooth_00048.png,Fixed-LSB-1,0.2,0.0,0.0,0.008462,0.006138,0.014601,1768.1
smooth_00048.png,Fixed-LSB-2,0.2,0.0,0.0,0.008575,0.006318,0.014893,1763.7
smooth_00048.png,Adaptive,0.2,0.099375,0.095083,0.008107,0.010719,0.213284,160323.0
smooth_00049.png,Fixed-LSB-1,0.2,0.0,0.0,0.006267,0.008344,0.014611,1768.1
smooth_00049.png,Fixed-LSB-2,0.2,0.0,0.0,0.005462,0.007561,0.013023,1763.7
smooth_00049.png,Adaptive,0.2,0.092133,0.100466,0.014086,0.013127,0.219811,160323.0
