image,ablation,bpp,payload_bytes,mse,psnr,ssim,kl_divergence,rs_detected,chi2_detected,spa_detected,mean_depth,extraction_verified
smooth_00006.png,no_pressure,0.2,491,0.010106,68.0848,0.999852,0.00000532,False,True,True,1.0208,True
smooth_00006.png,no_pressure,0.3,737,0.015101,66.3407,0.999778,0.00000745,False,True,True,1.0208,True
smooth_00006.png,no_pressure,0.4,982,0.020279,65.0604,0.999702,0.00000988,False,True,True,1.0208,True
smooth_00007.png,full_system,0.05,122,0.002772,73.7029,0.999959,0.00000092,True,True,True,1.0101,True
smooth_00007.png,full_system,0.1,245,0.005330,70.8632,0.999922,0.00000202,True,True,True,1.0101,True
smooth_00007.png,full_system,0.2,491,0.010178,68.0543,0.999850,0.00000367,True,True,True,1.0101,True
smooth_00007.png,full_system,0.3,737,0.015055,66.3539,0.999779,0.00000861,True,True,True,1.0101,True
smooth_00007.png,full_system,0.4,982,0.019948,65.1317,0.999707,0.00002130,True,True,True,1.0101,True
smooth_00007.png,entropy_only,0.05,122,0.002502,74.1472,0.999963,0.00000082,True,True,True,1.0000,True
smooth_00007.png,entropy_only,0.1,245,0.004908,71.2215,0.999928,0.00000162,True,True,True,1.0000,True
smooth_00007.png,entropy_only,0.2,491,0.009761,68.2361,0.999857,0.00000393,True,True,True,1.0000,True
smooth_00007.png,entropy_only,0.3,737,0.014933,66.3893,0.999781,0.00000934,True,True,True,1.0000,True
smooth_00007.png,entropy_only,0.4,982,0.019999,65.1207,0.999706,0.00001426,True,True,True,1.0000,True
smooth_00007.png,edge_only,0.05,122,0.002553,74.0598,0.999962,0.00000042,True,True,True,1.4128,True
smooth_00007.png,edge_only,0.1,245,0.005015,71.1280,0.999926,0.00000094,True,True,True,1.4128,True
smooth_00007.png,edge_only,0.2,491,0.009888,68.1799,0.999854,0.00000231,True,True,True,1.4128,True
smooth_00007.png,edge_only,0.3,737,0.014969,66.3789,0.999780,0.00000956,True,True,True,1.4128,True
smooth_00007.png,edge_only,0.4,982,0.020081,65.1030,0.999704,0.00001068,True,True,True,1.4128,True
smooth_00007.png,no_pressure,0.05,122,0.002772,73.7029,0.999959,0.00000092,True,True,True,1.0101,True
smooth_00007.png,no_pressure,0.1,245,0.005330,70.8632,0.999922,0.00000202,True,True,True,1.0101,True
smooth_00007.png,no_pressure,0.2,491,0.010178,68.0543,0.999850,0.00000367,True,True,True,1.0101,True
smooth_00007.png,no_pressure,0.3,737,0.015055,66.3539,0.999779,0.00000861,True,True,True,1.0101,True
