image_idx,entropy_mae,entropy_max_diff,entropy_rmse,edge_mae,edge_max_diff,edge_rmse,entropy_mae_nostrip,entropy_max_diff_nostrip,edge_mae_nostrip,edge_max_diff_nostrip,depth_mae,pct_pixels_differ,n_pixels,depth_diff_histogram,mean_cover_depth,mean_stego_depth,depth_mae_noise_0.001,pct_differ_noise_0.001,depth_mae_noise_0.005,pct_differ_noise_0.005,depth_mae_noise_0.01,pct_differ_noise_0.01,bpp
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0038006231619195406,0.20759862559919673,5.8398685612469595e-05,0.003410848213654968,0.0,0.0,65536,{0: 65536},1.345245361328125,1.345245361328125,0.00592041015625,0.592041015625,0.012420654296875,1.2420654296875,0.0181121826171875,1.81121826171875,0.1
167,0.0,0.0,0.0,0.0,0.0,0.0,0.003294209600559819,0.16432588838416207,6.76867585239222e-05,0.00406297330047321,0.0,0.0,65536,{0: 65536},1.2841339111328125,1.2841339111328125,0.0053253173828125,0.53253173828125,0.00970458984375,0.970458984375,0.0149688720703125,1.49688720703125,0.1
168,0.0,0.0,0.0,0.0,0.0,0.0,0.003772923651256466,0.23069276446802034,7.244659199513269e-05,0.004154387537774695,0.0,0.0,65536,{0: 65536},1.3686370849609375,1.3686370849609375,0.00518798828125,0.518798828125,0.008758544921875,0.8758544921875,0.0121917724609375,1.21917724609375,0.1
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0032590885739557617,0.20006651246851503,6.0956412786024726e-05,0.0033864290852172185,0.0,0.0,65536,{0: 65536},1.3185272216796875,1.3185272216796875,0.0065765380859375,0.65765380859375,0.0113677978515625,1.13677978515625,0.016632080078125,1.6632080078125,0.1
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0034505613369166734,0.2000665124685168,5.9480222730619186e-05,0.0034156439933116373,0.0,0.0,65536,{0: 65536},1.3453369140625,1.3453369140625,0.0069122314453125,0.69122314453125,0.0129241943359375,1.29241943359375,0.0188140869140625,1.88140869140625,0.1
171,0.0,0.0,0.0,0.0,0.0,0.0,0.004110391152439427,0.14906011140680886,7.940660239957498e-05,0.004326220823591742,0.0,0.0,65536,{0: 65536},1.1615753173828125,1.1615753173828125,0.004364013671875,0.4364013671875,0.0069122314453125,0.69122314453125,0.0100860595703125,1.00860595703125,0.1
172,0.0,0.0,0.0,0.0,0.0,0.0,0.003973359946167546,0.1643258883841563,5.9548680962059405e-05,0.0033372227155303302,0.0,0.0,65536,{0: 65536},1.2675323486328125,1.2675323486328125,0.0052032470703125,0.52032470703125,0.01019287109375,1.019287109375,0.0147552490234375,1.47552490234375,0.1
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0033319375689643874,0.15918916448531117,7.578906876740959e-05,0.004551952183722369,0.0,0.0,65536,{0: 65536},1.1680145263671875,1.1680145263671875,0.005157470703125,0.5157470703125,0.0086517333984375,0.86517333984375,0.01318359375,1.318359375,0.1
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0045671874685052375,0.2541277685039942,5.827851031940899e-05,0.0035194428436577324,0.0,0.0,65536,{0: 65536},1.1461181640625,1.1461181640625,0.0019073486328125,0.19073486328125,0.003753662109375,0.3753662109375,0.0060272216796875,0.60272216796875,0.1
175,0.0,0.0,0.0,0.0,0.0,0.0,0.003891447043970505,0.22741966223289178,6.251350400072796e-05,0.0038842640929465356,0.0,0.0,65536,{0: 65536},1.423858642578125,1.423858642578125,0.0067291259765625,0.67291259765625,0.01177978515625,1.177978515625,0.02008056640625,2.008056640625,0.1
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0034290268260070015,0.2075986255991965,5.4346561475956655e-05,0.0033850882884429606,0.0,0.0,65536,{0: 65536},1.26275634765625,1.26275634765625,0.0065460205078125,0.65460205078125,0.011627197265625,1.1627197265625,0.016845703125,1.6845703125,0.1
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0039005988136956507,0.24815284272677363,6.198018038275868e-05,0.004145272638731601,0.0,0.0,65536,{0: 65536},1.28076171875,1.28076171875,0.00482177734375,0.482177734375,0.00933837890625,0.933837890625,0.0140533447265625,1.40533447265625,0.1
178,0.0,0.0,0.0,0.0,0.0,0.0,0.003872842932875187,0.22395380821452138,6.15408857396292e-05,0.003548729144559337,0.0,0.0,65536,{0: 65536},1.2421417236328125,1.2421417236328125,0.004974365234375,0.4974365234375,0.0090484619140625,0.90484619140625,0.014892578125,1.4892578125,0.1
179,0.0,0.0,0.0,0.0,0.0,0.0,0.0039585244512276175,0.22488877568681342,6.214765668986842e-05,0.0032949769552418906,0.0,0.0,65536,{0: 65536},1.2291107177734375,1.2291107177734375,0.0063018798828125,0.63018798828125,0.0119781494140625,1.19781494140625,0.0174102783203125,1.74102783203125,0.1
